p,q,alpha_n,alpha_error,toeplitz_condition_number,worst_peak_miss,trajectory_length
1,1,1.000000000000000000e+00,3.819660112501050975e-01,1.219999987900024365e+02,7.363107781851076228e-02,3000
1,2,5.000000000000000000e-01,1.180339887498949025e-01,1.093773843374725061e+02,7.363107781851076228e-02,3000
2,3,6.666666666666666297e-01,4.863267791677172713e-02,1.069824799297089868e+02,7.363107781851076228e-02,3000
3,5,5.999999999999999778e-01,1.803398874989492473e-02,1.070662618350767872e+02,1.181778798987098256e+00,3000
5,8,6.250000000000000000e-01,6.966011250105097474e-03,1.070355415372282408e+02,7.117670855789377526e-01,3000
8,13,6.153846153846154188e-01,2.649373365279483750e-03,1.069506485308268822e+02,8.918328303722828920e-01,3000
