alpha_effective,alpha_error,case_name,label,nearest_expected_error,observable_mode,p,q,theta_effective,toeplitz_condition_number,top_peak_angle,top_peak_value
0.6180339887498949,0.0,circle_irrational_float,direct,0.00531864567603213,rich,,,,106.8895150823341,3.877903431774901,0.18363584526259671
0.5,0.1180339887498949,circle_rational,1/2,0.0,rich,1,2,,109.31319795556774,3.141592653589793,0.89355435995683
0.6666666666666666,0.04863267791677173,circle_rational,2/3,0.004090615434361844,rich,2,3,,106.80317842522818,4.184699589352029,0.27245297458808615
0.6,0.018033988749894925,circle_rational,3/5,0.0024543692606169287,rich,3,5,,106.96896890553039,3.767456815047135,0.48893055085834736
0.625,0.0069660112501050975,circle_rational,5/8,0.0,rich,5,8,,106.94596688881204,3.9269908169872414,0.8733629614751578
0.6153846153846154,0.0026493733652794837,circle_rational,8/13,0.0009439881771604597,rich,8,13,,106.7610374851315,3.865631585471816,0.7825554733208852
